Year (2010-2018),country,gini_index_reported,palma,ratio_top20bottom20,bottom40,region_un,OECD=Countries the support the free market,incomegroup,reference_period, gdp_ppp_pc_usd2011 , population 
2003,Slovakia,29.9,0.89,3.58,24.34,Europe,OECD,High income,,17728," 5,399,886.00 "
2004,Slovakia,27.1,0.96,4.17,23.06,Europe,OECD,High income,Year,18662," 5,399,374.00 "
2004,Slovakia,26.9,0.94,4.02,23.22,Europe,OECD,High income,Year,18662," 5,399,374.00 "
2004,Slovakia,29.7,1.09,4.68,22.04,Europe,OECD,High income,Year,18662," 5,399,374.00 "
2004,Slovakia,30.1,1.11,4.7,21.31,Europe,OECD,High income,Year,18662," 5,399,374.00 "
2004,Slovakia,25.4,,,,Europe,OECD,High income,,18662," 5,399,419.00 "
2004,Slovakia,26.5,,,,Europe,OECD,High income,Year,18662," 5,399,419.00 "
2004,Slovakia,29.9,,,,Europe,OECD,High income,Year,18662," 5,399,419.00 "
2004,Slovakia,45.7,,,,Europe,OECD,High income,Year,18662," 5,399,419.00 "
2004,Slovakia,27.07,0.96,4.13,23.04,Europe,OECD,High income,Year,18662," 5,399,374.00 "
2004,Slovakia,28.94,1.07,4.19,22.64,Europe,OECD,High income,Year,18662," 5,399,374.00 "
2005,Slovakia,26.2,0.9,3.9,23.8,Europe,OECD,High income,Year,19924," 5,398,962.00 "
2005,Slovakia,26,,,,Europe,OECD,High income,,19924," 5,398,963.00 "
2005,Slovakia,28.9,,,,Europe,OECD,High income,Year,19924," 5,398,963.00 "
2005,Slovakia,31.7,,,,Europe,OECD,High income,Year,19924," 5,398,963.00 "
2005,Slovakia,45.8,,,,Europe,OECD,High income,Year,19924," 5,398,963.00 "
2005,Slovakia,29.29,1.1,4.39,22.64,Europe,OECD,High income,Year,19924," 5,398,962.00 "
2005,Slovakia,29.83,1.11,4.39,22.1,Europe,OECD,High income,Year,19924," 5,398,962.00 "
2006,Slovakia,28.1,1.04,4.05,23.5,Europe,OECD,High income,Year,21609," 5,398,674.00 "
2006,Slovakia,24.2,,,,Europe,OECD,High income,,21610," 5,398,541.00 "
2006,Slovakia,24.6,,,,Europe,OECD,High income,Year,21610," 5,398,541.00 "
2006,Slovakia,42.9,,,,Europe,OECD,High income,Year,21610," 5,398,541.00 "
2006,Slovakia,25.8,0.9,3.8,24.13,Europe,OECD,High income,Year,21609," 5,398,674.00 "
2006,Slovakia,27.71,1.01,3.9,23.4,Europe,OECD,High income,Year,21609," 5,398,674.00 "
2007,Slovakia,24.7,0.84,3.64,24.64,Europe,OECD,High income,Year,23943," 5,398,693.00 "
2007,Slovakia,24.8,0.84,3.56,24.21,Europe,OECD,High income,Year,23943," 5,398,693.00 "
2007,Slovakia,27.3,0.96,4.07,23.29,Europe,OECD,High income,Year,23943," 5,398,693.00 "
2007,Slovakia,27.6,0.97,4.14,22.41,Europe,OECD,High income,Year,23943," 5,398,693.00 "
2007,Slovakia,24.5,0.84,3.46,24.9,Europe,OECD,High income,Year,23943," 5,398,693.00 "
2007,Slovakia,24.2,,,,Europe,OECD,High income,,23944," 5,398,326.00 "
2007,Slovakia,24.5,,,,Europe,OECD,High income,Year,23944," 5,398,326.00 "
2007,Slovakia,27.5,,,,Europe,OECD,High income,Year,23944," 5,398,326.00 "
2007,Slovakia,41.7,,,,Europe,OECD,High income,Year,23944," 5,398,326.00 "
2007,Slovakia,24.66,0.84,3.63,24.65,Europe,OECD,High income,Year,23943," 5,398,693.00 "
2007,Slovakia,28,1.03,3.94,23.43,Europe,OECD,High income,Year,23943," 5,398,693.00 "
2008,Slovakia,23.7,0.8,3.38,25.1,Europe,OECD,High income,Year,25288," 5,399,362.00 "
2008,Slovakia,22.7,,,,Europe,OECD,High income,,25290," 5,398,856.00 "
2008,Slovakia,25.6,,,,Europe,OECD,High income,Year,25290," 5,398,856.00 "
2008,Slovakia,27.8,,,,Europe,OECD,High income,Year,25290," 5,398,856.00 "
2008,Slovakia,41.3,,,,Europe,OECD,High income,Year,25290," 5,398,856.00 "
2008,Slovakia,26.02,0.89,3.88,23.85,Europe,OECD,High income,Year,25288," 5,399,362.00 "
2008,Slovakia,26.87,0.97,3.75,23.95,Europe,OECD,High income,Year,25288," 5,399,362.00 "
2009,Slovakia,24.8,0.85,3.56,24.6,Europe,OECD,High income,Year,23908," 5,401,149.00 "
2009,Slovakia,26.4,,,,Europe,OECD,High income,Year,23910," 5,400,719.00 "
2009,Slovakia,28.1,,,,Europe,OECD,High income,Year,23910," 5,400,719.00 "
2009,Slovakia,43.3,,,,Europe,OECD,High income,Year,23910," 5,400,719.00 "
2009,Slovakia,27.23,0.95,4.19,23.01,Europe,OECD,High income,Year,23908," 5,401,149.00 "
2009,Slovakia,26.02,0.93,3.59,24.18,Europe,OECD,High income,Year,23908," 5,401,149.00 "
2010,Slovakia,27.4,0.95,4.25,22.94,Europe,OECD,High income,Year," $25,099.00 "," 5,404,293.00 "
2010,Slovakia,26.4,0.9,3.93,23.38,Europe,OECD,High income,Year," $25,099.00 "," 5,404,293.00 "
2010,Slovakia,28.7,1.02,4.46,22.4,Europe,OECD,High income,Year," $25,099.00 "," 5,404,293.00 "
2010,Slovakia,28.2,0.99,4.25,22.37,Europe,OECD,High income,Year," $25,099.00 "," 5,404,293.00 "
2010,Slovakia,25.9,0.89,3.8,23.9,Europe,OECD,High income,Year," $25,099.00 "," 5,404,293.00 "
2010,Slovakia,26.3,,,,Europe,OECD,High income,Year," $25,099.00 "," 5,404,294.00 "
2010,Slovakia,28.1,,,,Europe,OECD,High income,Year," $25,099.00 "," 5,404,294.00 "
2010,Slovakia,43.1,,,,Europe,OECD,High income,Year," $25,099.00 "," 5,404,294.00 "
2010,Slovakia,27.31,0.95,4.23,22.98,Europe,OECD,High income,Year," $25,099.00 "," 5,404,293.00 "
2011,Slovakia,25.7,0.88,3.82,24,Europe,OECD,High income,Year," $25,785.00 "," 5,408,932.00 "
2011,Slovakia,26.1,,,,Europe,OECD,High income,Year," $25,780.00 "," 5,409,847.00 "
2011,Slovakia,27.2,,,,Europe,OECD,High income,Year," $25,780.00 "," 5,409,847.00 "
2011,Slovakia,41.7,,,,Europe,OECD,High income,Year," $25,780.00 "," 5,409,847.00 "
2011,Slovakia,26.54,0.9,4.08,23.15,Europe,OECD,High income,Year," $25,785.00 "," 5,408,932.00 "
2012,Slovakia,25.3,0.85,3.72,23.9,Europe,OECD,High income,Year," $26,183.00 "," 5,414,894.00 "
2012,Slovakia,25,,,,Europe,OECD,High income,Year," $26,173.00 "," 5,417,070.00 "
2012,Slovakia,26,,,,Europe,OECD,High income,Year," $26,173.00 "," 5,417,070.00 "
2012,Slovakia,41.1,,,,Europe,OECD,High income,Year," $26,173.00 "," 5,417,070.00 "
2012,Slovakia,26.12,0.88,4.04,23.26,Europe,OECD,High income,Year," $26,183.00 "," 5,414,894.00 "
2013,Slovakia,28.1,0.99,4.44,22.34,Europe,OECD,High income,Year," $26,540.00 "," 5,421,721.00 "
2013,Slovakia,26.9,0.93,4.05,23.18,Europe,OECD,High income,Year," $26,540.00 "," 5,421,721.00 "
2013,Slovakia,29.4,1.06,4.74,21.83,Europe,OECD,High income,Year," $26,540.00 "," 5,421,721.00 "
2013,Slovakia,28.8,1.02,4.49,21.98,Europe,OECD,High income,Year," $26,540.00 "," 5,421,721.00 "
2013,Slovakia,24.2,0.8,3.59,24.5,Europe,OECD,High income,Year," $26,540.00 "," 5,421,721.00 "
2013,Slovakia,26.9,,,,Europe,OECD,High income,Year," $26,523.00 "," 5,425,130.00 "
2013,Slovakia,28.7,,,,Europe,OECD,High income,Year," $26,523.00 "," 5,425,130.00 "
2013,Slovakia,42.8,,,,Europe,OECD,High income,Year," $26,523.00 "," 5,425,130.00 "
2013,Slovakia,28.08,0.99,4.4,22.36,Europe,OECD,High income,Year," $26,540.00 "," 5,421,721.00 "
2014,Slovakia,26.1,0.9,3.94,23.8,Europe,OECD,High income,Year," $27,234.00 "," 5,428,798.00 "
2014,Slovakia,24.7,,,,Europe,OECD,High income,Year," $27,214.00 "," 5,432,841.00 "
2014,Slovakia,26,,,,Europe,OECD,High income,Year," $27,214.00 "," 5,432,841.00 "
2014,Slovakia,39.7,,,,Europe,OECD,High income,Year," $27,214.00 "," 5,432,841.00 "
2014,Slovakia,26.11,0.88,4.11,23.1,Europe,OECD,High income,Year," $27,234.00 "," 5,428,798.00 "
2015,Slovakia,23.7,0.78,3.53,24.8,Europe,OECD,High income,Year," $28,336.00 "," 5,435,614.00 "
2015,Slovakia,25.1,,,,Europe,OECD,High income,Year," $28,316.00 "," 5,439,318.00 "
2015,Slovakia,26.4,,,,Europe,OECD,High income,Year," $28,316.00 "," 5,439,318.00 "
2015,Slovakia,40.2,,,,Europe,OECD,High income,Year," $28,316.00 "," 5,439,318.00 "
2015,Slovakia,26.49,0.9,4.12,23.13,Europe,OECD,High income,Year," $28,336.00 "," 5,435,614.00 "
2016,Slovakia,24.3,0.81,3.62,24.5,Europe,OECD,High income,Year," $29,187.00 "," 5,442,001.00 "
2016,Slovakia,24.1,0.79,3.66,24.31,Europe,OECD,High income,," $29,187.00 "," 5,442,001.00 "
2017,Slovakia,23.2,0.76,3.49,25,Europe,OECD,High income,Year," $30,085.00 "," 5,447,903.00 "
1987,Slovenia,21.5,0.8,3.24,25.1,Europe,OECD,High income,Year,," 1,978,524.00 "
1987,Slovenia,19.9,,2.66,,Europe,OECD,High income,,," 1,978,524.00 "
1989,Slovenia,21.9,,,,Europe,OECD,High income,,," 2,000,873.00 "
1989,Slovenia,22.2,,3.05,,Europe,OECD,High income,,," 2,000,873.00 "
1990,Slovenia,23.2,,,,Europe,OECD,High income,,18820," 2,006,479.00 "
1990,Slovenia,22.8,,2.98,,Europe,OECD,High income,,18820," 2,006,479.00 "
1991,Slovenia,27.3,,,,Europe,OECD,High income,,17133," 2,007,884.00 "
1991,Slovenia,26.5,,,,Europe,OECD,High income,,17133," 2,007,884.00 "
1991,Slovenia,26.9,,3.68,,Europe,OECD,High income,,17133," 2,007,884.00 "
1992,Slovenia,26,,,,Europe,OECD,High income,,16216," 2,005,512.00 "
1992,Slovenia,25.9,,,,Europe,OECD,High income,,16216," 2,005,512.00 "
1992,Slovenia,26.1,,3.62,,Europe,OECD,High income,,16216," 2,005,512.00 "
1993,Slovenia,27.6,,,,Europe,OECD,High income,,16717," 2,000,768.00 "
1993,Slovenia,29.18,1.09,4.16,22.56,Europe,OECD,High income,Year,16719," 2,000,560.00 "
1993,Slovenia,25.1,0.87,3.49,24.36,Europe,OECD,High income,Year,16717," 2,000,768.00 "
1993,Slovenia,27.3,,3.73,,Europe,OECD,High income,,16717," 2,000,768.00 "
1994,Slovenia,27.5,,,,Europe,OECD,High income,,17653," 1,995,607.00 "
1994,Slovenia,24.6,0.73,3.01,26.14,Europe,OECD,High income,,17653," 1,995,607.00 "
1995,Slovenia,35.8,,,,Europe,OECD,High income,,18416," 1,991,472.00 "
1995,Slovenia,26.4,0.79,3.27,25.17,Europe,OECD,High income,,18416," 1,991,472.00 "
1996,Slovenia,29.8,,,,Europe,OECD,High income,,19088," 1,988,989.00 "
1996,Slovenia,25.2,0.8,3.31,24.96,Europe,OECD,High income,,19088," 1,988,989.00 "
1996,Slovenia,26.1,,,,Europe,OECD,High income,Year,19088," 1,988,989.00 "
1997,Slovenia,24.1,0.82,3.44,24.82,Europe,OECD,High income,Year,20079," 1,987,457.00 "
1997,Slovenia,22.9,0.76,3.3,25.13,Europe,OECD,High income,Year,20079," 1,987,457.00 "
1997,Slovenia,31.9,1.2,5.06,20.65,Europe,OECD,High income,Year,20079," 1,987,457.00 "
1997,Slovenia,29.3,1.05,4.5,21.95,Europe,OECD,High income,Year,20079," 1,987,457.00 "
1997,Slovenia,24,0.83,3.52,24.6,Europe,OECD,High income,,20074," 1,987,955.00 "
1997,Slovenia,30.7,,,,Europe,OECD,High income,,20074," 1,987,955.00 "
1997,Slovenia,22.2,,,,Europe,OECD,High income,,20074," 1,987,955.00 "
1998,Slovenia,24.3,0.81,3.46,24.83,Europe,OECD,High income,,20734," 1,987,976.00 "
1998,Slovenia,30.6,,,,Europe,OECD,High income,,20734," 1,987,976.00 "
1998,Slovenia,22.3,,,,Europe,OECD,High income,,20734," 1,987,976.00 "
1998,Slovenia,28.41,1.03,4.15,22.46,Europe,OECD,High income,Year,20740," 1,987,384.00 "
1999,Slovenia,24,0.81,3.43,24.9,Europe,OECD,High income,Year,21831," 1,987,625.00 "
1999,Slovenia,23.2,0.77,3.36,25.02,Europe,OECD,High income,Year,21831," 1,987,625.00 "
1999,Slovenia,31.3,1.16,4.92,20.74,Europe,OECD,High income,Year,21831," 1,987,625.00 "
1999,Slovenia,28.9,1.02,4.4,22.01,Europe,OECD,High income,Year,21831," 1,987,625.00 "
1999,Slovenia,24.8,0.84,3.47,24.67,Europe,OECD,High income,,21823," 1,988,318.00 "
1999,Slovenia,30.5,,,,Europe,OECD,High income,,21823," 1,988,318.00 "
1999,Slovenia,22.5,,,,Europe,OECD,High income,,21823," 1,988,318.00 "
2000,Slovenia,22,,,,Europe,OECD,High income,Year,22737," 1,987,710.00 "
2000,Slovenia,24.6,0.85,3.54,24.37,Europe,OECD,High income,,22728," 1,988,499.00 "
2000,Slovenia,30.6,,,,Europe,OECD,High income,,22728," 1,988,499.00 "
2000,Slovenia,22.3,,,,Europe,OECD,High income,,22728," 1,988,499.00 "
2001,Slovenia,22,,,,Europe,OECD,High income,Year,23411," 1,987,457.00 "
2001,Slovenia,31,,,,Europe,OECD,High income,,23400," 1,988,349.00 "
2001,Slovenia,24.4,0.83,3.49,24.55,Europe,OECD,High income,,23400," 1,988,349.00 "
2001,Slovenia,22,,,,Europe,OECD,High income,,23400," 1,988,349.00 "
2002,Slovenia,22,,,,Europe,OECD,High income,Year,24311," 1,987,265.00 "
2002,Slovenia,30.7,,,,Europe,OECD,High income,,24299," 1,988,264.00 "
2002,Slovenia,23.5,,,,Europe,OECD,High income,,24299," 1,988,264.00 "
2002,Slovenia,21.9,,,,Europe,OECD,High income,,24299," 1,988,264.00 "
2002,Slovenia,29.12,1.05,4.38,22,Europe,OECD,High income,Year,24311," 1,987,265.00 "
2003,Slovenia,30.5,,,,Europe,OECD,High income,,24981," 1,988,965.00 "
2003,Slovenia,24.3,,,,Europe,OECD,High income,,24981," 1,988,965.00 "
2003,Slovenia,22.1,,,,Europe,OECD,High income,,24981," 1,988,965.00 "
2003,Slovenia,30.87,1.14,4.79,20.8,Europe,OECD,High income,Year,24995," 1,987,855.00 "
2004,Slovenia,24.1,0.81,3.37,24.89,Europe,OECD,High income,Year,26051," 1,990,226.00 "
2004,Slovenia,23.1,0.76,3.31,25.13,Europe,OECD,High income,Year,26051," 1,990,226.00 "
2004,Slovenia,31.1,1.17,4.78,21,Europe,OECD,High income,Year,26051," 1,990,226.00 "
2004,Slovenia,29.1,1.05,4.37,21.9,Europe,OECD,High income,Year,26051," 1,990,226.00 "
2004,Slovenia,30.3,,,,Europe,OECD,High income,,26036," 1,991,430.00 "
2004,Slovenia,24.1,,,,Europe,OECD,High income,Year,26036," 1,991,430.00 "
2004,Slovenia,29.4,,,,Europe,OECD,High income,Year,26036," 1,991,430.00 "
2004,Slovenia,44.1,,,,Europe,OECD,High income,Year,26036," 1,991,430.00 "
2004,Slovenia,24.79,0.84,3.53,24.45,Europe,OECD,High income,Year,26051," 1,990,226.00 "
2005,Slovenia,23.8,0.8,3.41,25,Europe,OECD,High income,Year,27030," 1,994,979.00 "
2005,Slovenia,24.2,,,,Europe,OECD,High income,,27012," 1,996,281.00 "
2005,Slovenia,27.8,,,,Europe,OECD,High income,,27012," 1,996,281.00 "
2005,Slovenia,24,,,,Europe,OECD,High income,Year,27012," 1,996,281.00 "
2005,Slovenia,29.7,,,,Europe,OECD,High income,Year,27012," 1,996,281.00 "
2005,Slovenia,43.9,,,,Europe,OECD,High income,Year,27012," 1,996,281.00 "
2005,Slovenia,24.63,0.84,3.49,24.54,Europe,OECD,High income,Year,27030," 1,994,979.00 "
2006,Slovenia,23.7,0.8,3.38,25,Europe,OECD,High income,Year,28452," 2,002,427.00 "
2006,Slovenia,30.7,,,,Europe,OECD,High income,,28433," 2,003,791.00 "
2006,Slovenia,23.7,,,,Europe,OECD,High income,Year,28433," 2,003,791.00 "
2006,Slovenia,29.2,,,,Europe,OECD,High income,Year,28433," 2,003,791.00 "
2006,Slovenia,43.4,,,,Europe,OECD,High income,Year,28433," 2,003,791.00 "
2006,Slovenia,24.36,0.82,3.45,24.69,Europe,OECD,High income,Year,28452," 2,002,427.00 "
2007,Slovenia,23.8,0.8,3.37,24.99,Europe,OECD,High income,Year,30281," 2,012,128.00 "
2007,Slovenia,23,0.75,3.35,25.03,Europe,OECD,High income,Year,30281," 2,012,128.00 "
2007,Slovenia,28.6,1.03,4.1,22.61,Europe,OECD,High income,Year,30281," 2,012,128.00 "
2007,Slovenia,26.4,0.92,3.72,23.74,Europe,OECD,High income,Year,30281," 2,012,128.00 "
2007,Slovenia,23.2,0.77,3.31,25.3,Europe,OECD,High income,Year,30281," 2,012,128.00 "
2007,Slovenia,28.9,,,,Europe,OECD,High income,,30259," 2,013,539.00 "
2007,Slovenia,23.9,,,,Europe,OECD,High income,Year,30259," 2,013,539.00 "
2007,Slovenia,29.1,,,,Europe,OECD,High income,Year,30259," 2,013,539.00 "
2007,Slovenia,42.6,,,,Europe,OECD,High income,Year,30259," 2,013,539.00 "
2007,Slovenia,24.35,0.82,3.45,24.71,Europe,OECD,High income,Year,30281," 2,012,128.00 "
2008,Slovenia,23.4,0.78,3.35,25.2,Europe,OECD,High income,Year,31111," 2,023,049.00 "
2008,Slovenia,30.2,,,,Europe,OECD,High income,,31088," 2,024,538.00 "
2008,Slovenia,23.4,,,,Europe,OECD,High income,Year,31088," 2,024,538.00 "
2008,Slovenia,28.5,,,,Europe,OECD,High income,Year,31088," 2,024,538.00 "
2008,Slovenia,41.8,,,,Europe,OECD,High income,Year,31088," 2,024,538.00 "
2008,Slovenia,23.72,0.8,3.33,25.09,Europe,OECD,High income,Year,31111," 2,023,049.00 "
2009,Slovenia,22.7,0.76,3.25,25.5,Europe,OECD,High income,Year,28534," 2,033,807.00 "
2009,Slovenia,24.5,,,,Europe,OECD,High income,Year,28511," 2,035,424.00 "
2009,Slovenia,29.7,,,,Europe,OECD,High income,Year,28511," 2,035,424.00 "
2009,Slovenia,44.4,,,,Europe,OECD,High income,Year,28511," 2,035,424.00 "
2009,Slovenia,24.79,0.84,3.52,24.44,Europe,OECD,High income,Year,28534," 2,033,807.00 "
2010,Slovenia,25.7,0.87,3.84,23.82,Europe,OECD,High income,Year," $28,752.00 "," 2,043,336.00 "
2010,Slovenia,25.2,0.83,3.87,23.63,Europe,OECD,High income,Year," $28,752.00 "," 2,043,336.00 "
2010,Slovenia,28.2,1.02,4.03,22.94,Europe,OECD,High income,Year," $28,752.00 "," 2,043,336.00 "
2010,Slovenia,25.9,0.9,3.65,23.92,Europe,OECD,High income,Year," $28,752.00 "," 2,043,336.00 "
2010,Slovenia,23.8,0.79,3.4,24.9,Europe,OECD,High income,Year," $28,752.00 "," 2,043,336.00 "
2010,Slovenia,24.4,,,,Europe,OECD,High income,Year," $28,726.00 "," 2,045,168.00 "
2010,Slovenia,29.7,,,,Europe,OECD,High income,Year," $28,726.00 "," 2,045,168.00 "
2010,Slovenia,44.9,,,,Europe,OECD,High income,Year," $28,726.00 "," 2,045,168.00 "
2010,Slovenia,24.93,0.85,3.58,24.35,Europe,OECD,High income,Year," $28,752.00 "," 2,043,336.00 "
2011,Slovenia,23.8,0.8,3.47,24.7,Europe,OECD,High income,Year," $28,827.00 "," 2,051,278.13 "
2011,Slovenia,24.4,,,,Europe,OECD,High income,Year," $28,796.00 "," 2,053,436.00 "
2011,Slovenia,29.6,,,,Europe,OECD,High income,Year," $28,796.00 "," 2,053,436.00 "
2011,Slovenia,45.3,,,,Europe,OECD,High income,Year," $28,796.00 "," 2,053,436.00 "
2011,Slovenia,24.87,0.85,3.57,24.44,Europe,OECD,High income,Year," $28,827.00 "," 2,051,278.13 "
2012,Slovenia,27.3,0.96,4.11,23,Europe,OECD,High income,Year," $27,968.00 "," 2,057,825.88 "
2012,Slovenia,27.1,0.93,4.15,22.67,Europe,OECD,High income,Year," $27,968.00 "," 2,057,825.88 "
2012,Slovenia,27.7,1,3.86,23.34,Europe,OECD,High income,Year," $27,968.00 "," 2,057,825.88 "
2012,Slovenia,25.5,0.88,3.58,24.24,Europe,OECD,High income,Year," $27,968.00 "," 2,057,825.88 "
2012,Slovenia,23.7,0.79,3.42,24.8,Europe,OECD,High income,Year," $27,968.00 "," 2,057,825.88 "
2012,Slovenia,24.9,,,,Europe,OECD,High income,Year," $27,933.00 "," 2,060,390.00 "
2012,Slovenia,30.3,,,,Europe,OECD,High income,Year," $27,933.00 "," 2,060,390.00 "
2012,Slovenia,46.5,,,,Europe,OECD,High income,Year," $27,933.00 "," 2,060,390.00 "
2012,Slovenia,25.58,0.88,3.73,24.02,Europe,OECD,High income,Year," $27,968.00 "," 2,057,825.88 "
2013,Slovenia,24.4,0.82,3.59,24.4,Europe,OECD,High income,Year," $27,580.00 "," 2,063,120.13 "
2013,Slovenia,25.4,,,,Europe,OECD,High income,Year," $27,540.00 "," 2,066,119.00 "
2013,Slovenia,30.4,,,,Europe,OECD,High income,Year," $27,540.00 "," 2,066,119.00 "
2013,Slovenia,46.5,,,,Europe,OECD,High income,Year," $27,540.00 "," 2,066,119.00 "
2013,Slovenia,26.24,0.91,3.88,23.61,Europe,OECD,High income,Year," $27,580.00 "," 2,063,120.13 "
2014,Slovenia,25,0.84,3.7,24.1,Europe,OECD,High income,Year," $28,334.00 "," 2,067,488.00 "
2014,Slovenia,25.1,,,,Europe,OECD,High income,Year," $28,288.00 "," 2,070,845.00 "
2014,Slovenia,30.3,,,,Europe,OECD,High income,Year," $28,288.00 "," 2,070,845.00 "
2014,Slovenia,46.1,,,,Europe,OECD,High income,Year," $28,288.00 "," 2,070,845.00 "
2014,Slovenia,25.66,0.88,3.74,24,Europe,OECD,High income,Year," $28,334.00 "," 2,067,488.00 "
2015,Slovenia,24.5,0.83,3.6,24.4,Europe,OECD,High income,Year," $28,935.00 "," 2,071,199.00 "
2015,Slovenia,25,,,,Europe,OECD,High income,Year," $28,885.00 "," 2,074,788.00 "
2015,Slovenia,30,,,,Europe,OECD,High income,Year," $28,885.00 "," 2,074,788.00 "
2015,Slovenia,45.7,,,,Europe,OECD,High income,Year," $28,885.00 "," 2,074,788.00 "
2015,Slovenia,25.41,0.87,3.67,24.08,Europe,OECD,High income,Year," $28,935.00 "," 2,071,199.00 "
2016,Slovenia,24.4,0.82,3.58,24.4,Europe,OECD,High income,Year," $29,780.00 "," 2,074,205.13 "
2016,Slovenia,24.4,0.81,3.57,24.24,Europe,OECD,High income,," $29,780.00 "," 2,074,205.13 "
2017,Slovenia,23.7,0.79,3.42,24.8,Europe,OECD,High income,Year," $31,200.00 "," 2,076,395.00 "
2018,Slovenia,23.4,0.78,3.37,25,Europe,OECD,High income,Year," $32,578.00 "," 2,077,836.00 "
2005,Solomon Islands,46.1,2.55,10.47,14.02,Oceania,Non-OECD,Lower middle income,Year,1680," 469,918.00 "
2013,Solomon Islands,37.05,1.59,6.39,18.35,Oceania,Non-OECD,Lower middle income,Year," $2,108.00 "," 571,329.00 "
2002,Somalia,39.7,2.83,12.73,12.6,Africa,Non-OECD,Low income,Year,," 9,564,167.00 "
1960,South Africa,54,,,,Africa,Non-OECD,Upper middle income,,," 17,456,855.00 "
1965,South Africa,58.1,6.1,34.44,6.7,Africa,Non-OECD,Upper middle income,,," 19,942,303.00 "
1965,South Africa,55,,,,Africa,Non-OECD,Upper middle income,,," 19,942,303.00 "
1965,South Africa,56.3,,,,Africa,Non-OECD,Upper middle income,,," 19,942,303.00 "
1965,South Africa,58,,30.21,6.1,Africa,Non-OECD,Upper middle income,,," 19,942,303.00 "
1970,South Africa,51,,,,Africa,Non-OECD,Upper middle income,,," 22,839,451.00 "
1975,South Africa,47,,,,Africa,Non-OECD,Upper middle income,,," 26,212,405.00 "
1975,South Africa,68,,,,Africa,Non-OECD,Upper middle income,,," 26,212,405.00 "
1980,South Africa,49,,,,Africa,Non-OECD,Upper middle income,,," 29,760,471.00 "
1985,South Africa,47,,,,Africa,Non-OECD,Upper middle income,,," 33,730,148.00 "
1987,South Africa,45,,,,Africa,Non-OECD,Upper middle income,,," 35,230,249.00 "
1990,South Africa,63,,,,Africa,Non-OECD,Upper middle income,,9700," 37,560,525.00 "
1991,South Africa,68,,,,Africa,Non-OECD,Upper middle income,,9382," 38,437,855.00 "
1993,South Africa,59.33,5.69,21.81,8.2,Africa,Non-OECD,Upper middle income,Year,9014," 39,633,752.00 "
1993,South Africa,68.1,,,,Africa,Non-OECD,Upper middle income,,8865," 40,300,161.00 "
1995,South Africa,59,,,,Africa,Non-OECD,Upper middle income,,9032," 42,088,165.00 "
1996,South Africa,60.69,6.07,24.77,7.83,Africa,Non-OECD,Upper middle income,Year,9386," 42,241,008.00 "
1996,South Africa,69,,,,Africa,Non-OECD,Upper middle income,,9242," 42,898,520.00 "
1997,South Africa,54.5,5.3,18.41,10.24,Africa,Non-OECD,Upper middle income,,9318," 43,657,024.00 "
2000,South Africa,67,,,,Africa,Non-OECD,Upper middle income,,9539," 45,728,315.00 "
2001,South Africa,57.77,5.18,20.41,8.67,Africa,Non-OECD,Upper middle income,Year,9831," 45,571,272.00 "
2001,South Africa,73,,,,Africa,Non-OECD,Upper middle income,,9658," 46,385,006.00 "
2005,South Africa,64.76,7.43,27.53,7.3,Africa,Non-OECD,Upper middle income,Year,10995," 47,880,592.00 "
2005,South Africa,72,,,,Africa,Non-OECD,Upper middle income,,10783," 48,820,586.00 "
2008,South Africa,69.6,11.45,50.9,5.02,Africa,Non-OECD,Upper middle income,Year,12142," 49,779,472.00 "
2008,South Africa,65.7,8.39,37.59,6.44,Africa,Non-OECD,Upper middle income,Year,12142," 49,779,472.00 "
2008,South Africa,71.2,13.16,58.07,4.48,Africa,Non-OECD,Upper middle income,Year,12142," 49,779,472.00 "
2008,South Africa,67.5,9.54,42.57,5.8,Africa,Non-OECD,Upper middle income,Year,12142," 49,779,472.00 "
2008,South Africa,69.8,11.6,46.57,4.95,Africa,Non-OECD,Upper middle income,Year,12142," 49,779,472.00 "
2008,South Africa,66.4,8.56,33.26,6.36,Africa,Non-OECD,Upper middle income,Year,12142," 49,779,472.00 "
2008,South Africa,69,,,,Africa,Non-OECD,Upper middle income,,11990," 50,412,129.00 "
2009,South Africa,63.01,6.85,26.31,7.48,Africa,Non-OECD,Upper middle income,Year,11790," 50,477,012.00 "
2010,South Africa,73.4,13.8,61.19,4.52,Africa,Non-OECD,Upper middle income,Year," $11,973.00 "," 51,216,968.00 "
2010,South Africa,66.1,8.5,37.85,6.39,Africa,Non-OECD,Upper middle income,Year," $11,973.00 "," 51,216,968.00 "
2010,South Africa,68.2,11.13,51.83,4.9,Africa,Non-OECD,Upper middle income,Year," $11,973.00 "," 51,216,968.00 "
2010,South Africa,63.4,7.69,36.35,6.43,Africa,Non-OECD,Upper middle income,Year," $11,973.00 "," 51,216,968.00 "
2010,South Africa,69.6,10.92,45.12,5.29,Africa,Non-OECD,Upper middle income,Year," $11,973.00 "," 51,216,968.00 "
2010,South Africa,65.5,7.86,31.11,6.96,Africa,Non-OECD,Upper middle income,Year," $11,973.00 "," 51,216,968.00 "
2010,South Africa,63.38,7.13,27.91,7.19,Africa,Non-OECD,Upper middle income,Year," $11,973.00 "," 51,216,968.00 "
2011,South Africa,69.4,11.85,48.39,4.78,Africa,Non-OECD,Upper middle income,," $12,119.00 "," 52,263,516.00 "
